death14_sum,death15_sum,death16_sum,death17_sum,death18_sum,countyFIPS,statecode,countyname,coviddeath_may21,alldeath_may21,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,death14_pop,death15_pop,death16_pop,death17_pop,death18_pop,death20_pop,avgdeath_pop,excessmortal_final
532,542,537,547,540,36121,NY,Wyoming County,39.0,480.0,41145,40939,40450,40296,40068,39858,39465,0.01292988212419492,0.013239209555680403,0.013275648949320148,0.013574548342267222,0.013477088948787063,0.012162675788673508,0.01329927558404995,-0.08546328619128592
358,363,346,382,395,36123,NY,Yates County,30.0,370.0,25162,25145,25080,25021,24959,24902,24780,0.014227803831173993,0.014436269636110558,0.01379585326953748,0.015267175572519083,0.0158259545654874,0.01493139628732849,0.014710611374965701,0.015008547689494256
2218,2344,2318,2356,2412,37001,NC,Alamance County,138.0,2120.0,155439,157104,160358,163326,166516,169173,171346,0.014269263183628304,0.014920052958549751,0.014455156587136283,0.014425137455151048,0.014485094525451008,0.012372626148261413,0.014510940941983278,-0.1473587965295386
536,544,550,602,551,37003,NC,Alexander County,21.0,321.0,36993,36960,37120,37105,37272,37417,37441,0.014489227691725462,0.01471861471861472,0.014816810344827586,0.01622422854062795,0.01478321528224941,0.008573488955957373,0.015006419315609027,-0.42867856910811486
423,480,451,418,440,37007,NC,Anson County,14.0,216.0,25976,25616,25173,24856,24487,23538,24097,0.0162842623960579,0.018738288569643973,0.017916021133754418,0.016816865143224977,0.017968718095315882,0.008963771423828693,0.01754483106759943,-0.4890933181806258
500,472,462,461,473,37009,NC,Ashe County,36.0,339.0,26761,26625,26595,26795,27122,27215,27166,0.018683905683644107,0.017727699530516432,0.0173716864072194,0.017204702369845122,0.017439716835041665,0.012478833836413164,0.017685542165253344,-0.29440479009287945
848,842,861,867,862,37013,NC,Beaufort County,82.0,586.0,47349,47403,47407,47097,47127,47096,47073,0.017909565143931234,0.017762588865683607,0.01816187482861181,0.018408815848143193,0.01829100091242812,0.012448749814118497,0.018106769119759593,-0.31248088867862134
368,338,334,341,361,37015,NC,Bertie County,15.0,219.0,20317,20167,19414,19246,19072,18962,18712,0.018112910370625585,0.016760053552833838,0.01720407953023591,0.017717967369843084,0.018928271812080538,0.011703719538264216,0.017744656527123794,-0.3404369636361028
600,589,571,572,595,37017,NC,Bladen County,,342.0,34365,34090,33657,33446,33169,32864,32911,0.017459624618070713,0.017277794074508655,0.016965267254954394,0.017102194582311787,0.01793843649190509,0.010391662362128164,0.017348663404350127,-0.40101077991273465
1805,1856,1981,2120,2112,37019,NC,Brunswick County,60.0,1397.0,118382,122322,126422,130996,137071,142987,149039,0.015247250426585124,0.015173067804646752,0.01566974102608723,0.016183700265656967,0.015408073188347644,0.009373385489704037,0.015536366542264746,-0.39668097658452434
3515,3668,3721,3835,3731,37021,NC,Buncombe County,433.0,4511.0,249265,252160,255222,257408,259726,262049,263477,0.014101458287364853,0.014546319796954315,0.014579464152776798,0.014898526852312282,0.014365138646111672,0.017121039028074558,0.014498181547103986,0.18090941077327646
1438,1472,1473,1449,1481,37023,NC,Burke County,127.0,1172.0,89292,89337,89444,90143,90309,90424,90418,0.01610446624557631,0.016476935648163694,0.016468404811949375,0.016074459469953298,0.016399251458880066,0.012962020836559092,0.016304703526904548,-0.20501339903725713
2097,2234,2166,2270,2152,37025,NC,Cabarrus County,302.0,2435.0,191737,196483,201737,206987,211483,216340,221479,0.010936856214502157,0.011369940401968618,0.010736751314830695,0.010966872315652673,0.01017575880803658,0.010994270337142573,0.010837235810998146,0.014490274908022285
1371,1324,1343,1352,1369,37027,NC,Caldwell County,125.0,1094.0,81698,81554,81829,81961,82116,82275,82100,0.016781316556096843,0.016234642077641807,0.01641227437705459,0.016495650370298067,0.016671537824540894,0.013325213154689403,0.01651908424112644,-0.19334431859639503
1074,1101,1112,1148,1279,37031,NC,Carteret County,39.0,1002.0,68670,68766,68875,69014,69547,69513,69558,0.01564001747487986,0.016010819300235582,0.016145190562613432,0.016634306082823774,0.01839044099673602,0.014405244544121452,0.016564154883457735,-0.13033628063284655
